"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-12-31,92347,"78251","TX","San Antonio","Bexar","San Antonio",466,173000,0.00348027842227378,0.0069848661233993,0.0725356478611283,0.0567111146118169,0.0123611424259393,"2017-12","2017-Q4",173000,0,"2017-12"
2017-12-31,81422,"53704","WI","Madison","Dane","Madison",467,199500,-0.00597907324364723,0.00352112676056338,0.0860097985846489,0.0558928824833769,0.0139447903583092,"2017-10","2017-Q4",201300,-0.00894187779433681,"2017-10"
2017-12-31,60642,"07305","NJ","New York","Hudson","Jersey City",468,302400,0.0127260549229739,0.0474541046068583,0.194784670090873,0.0831853241928528,-0.0102153007836625,"2007-06","2007-Q2",354500,-0.146967559943583,"2005-12"
2017-12-31,67723,"23455","VA","Virginia Beach","Virginia Beach City","Virginia Beach",469,283200,-0.00316789862724393,-0.0118632240055827,0.0028328611898017,0.0198433680696475,-0.00643964867222291,"2007-07","2007-Q3",308700,-0.0826044703595724,"2005-08"
2017-12-31,70839,"30058","GA","Atlanta","Dekalb","Lithonia",470,121000,0.010016694490818,0.0315430520034101,0.087151841868823,0.137633386629985,-0.00873846233802811,"2006-08","2006-Q3",140300,-0.137562366357805,"2001-02"
2017-12-31,84610,"60608","IL","Chicago","Cook","Chicago",471,220800,0.00775901414879051,0.0072992700729927,-0.0408340573414422,0.0694941516241252,-0.00892118384183327,"2006-06","2006-Q2",244300,-0.0961932050757266,"2005-10"
2017-12-31,97993,"95125","CA","San Jose","Santa Clara","San Jose",472,1344000,0.026659537086548,0.0822998872604284,0.204732879168161,0.115967537973697,0.0516299239814701,"2017-12","2017-Q4",1344000,0,"2017-12"
2017-12-31,69789,"28227","NC","Charlotte","Mecklenburg","Mint Hill",473,179500,0.0135516657255788,0.0363741339491917,0.126804770872567,0.0845926441132292,0.0229934229468349,"2017-12","2017-Q4",179500,0,"2017-12"
2017-12-31,70658,"29681","SC","Greenville","Greenville","Simpsonville",474,228500,0.00351339481774264,0.0142032845095428,0.0573808422026839,0.0447267274956402,0.0206276623344843,"2017-12","2017-Q4",228500,0,"2017-12"
2017-12-31,96664,"92122","CA","San Diego","San Diego","San Diego",475,670000,0.0137691027386897,0.0411810411810412,0.101792468344022,0.0661449331944077,0.023062530836407,"2017-12","2017-Q4",670000,0,"2017-12"
2017-12-31,75885,"41042","KY","Cincinnati","Boone","Florence",476,154800,0.00324044069993519,0.010443864229765,0.0354515050167224,0.0311327392654879,0.0119215057864004,"2017-12","2017-Q4",154800,0,"2017-12"
2017-12-31,98946,"96815","HI","Urban Honolulu","Honolulu","Honolulu",477,471200,0.00554844216816048,0.0107250107250107,0.0584007187780773,0.0528659193664578,0.0282587037231627,"2017-12","2017-Q4",471200,0,"2017-12"
2017-12-31,70878,"30101","GA","Atlanta","Cobb","Acworth",478,224900,0.000444839857651246,0.00401785714285714,0.046046511627907,0.0715421977647306,0.0121070036864328,"2017-12","2017-Q4",224900,0,"2017-12"
